date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:08	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:11%20GMT	https://bellezza.bcitwebdeveloper.ca/category/color/mstile-310x310.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/mstile-310x310.png	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:09	2975/2975	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20Mar%202021%2001:37:11%20GMT	https://bellezza.bcitwebdeveloper.ca/wp-json/wp/v2/categories/5	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/wp-json/wp/v2/categories/5.json	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:10	358055/358055	---MC-	200	added ('OK')	application/rss+xml	etag:%226195b1143634002a709c8bcd4cdccdf5%22	https://bellezza.bcitwebdeveloper.ca/category/color/feed/	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/category/color/feed/index.html	(from https://bellezza.bcitwebdeveloper.ca/category/color/)
18:37:10	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:12%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-57x57.d3.delayed	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
18:37:11	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:13%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-114x114.png	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
18:37:12	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:14%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-72x72.png	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
18:37:12	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:15%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-144x144.png	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
18:37:13	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:15%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-60x60.png	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
18:37:14	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:16%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-120x120.png	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
18:37:15	18384/18384	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2001:37:17%20GMT	https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/Capstone%20Project/bellezza.bcitwebdeveloper.ca/shrek-movie-script/apple-touch-icon-76x76.png	(from https://bellezza.bcitwebdeveloper.ca/shrek-movie-script/)
